producto,precio,tienda,categoria
Infantil XL,8830,Falabellox,Infantil
Electrónica Plus,102757,Parisio,Electrónica
Juguetes Ultra,55019,Riploy,Juguetes
Infantil XL,26065,Falabellox,Infantil
Deportes Smart,140072,Riploy,Deportes
Moda Pro,33055,Falabellox,Moda
Electrónica Pro,98706,Riploy,Electrónica
Herramientas Kit,10693,Parisio,Herramientas
Belleza Mini,22940,Riploy,Belleza
Moda Smart,52691,Parisio,Moda
Mascotas Ultra,73919,Riploy,Mascotas
Juguetes Kit,193070,Parisio,Juguetes
Belleza Mini,34001,Riploy,Belleza
Moda Pro,113192,Parisio,Moda
Moda Eco,105471,Falabellox,Moda
Herramientas Max,112262,Riploy,Herramientas
Juguetes Smart,10971,Parisio,Juguetes
Deportes Smart,136286,Riploy,Deportes
Hogar Pack,20547,Falabellox,Hogar
Infantil Plus,40802,Riploy,Infantil
Hogar Mini,134210,Falabellox,Hogar
Moda XL,39359,Riploy,Moda
Hogar Ultra,132114,Parisio,Hogar
Infantil Max,80882,Riploy,Infantil
Moda Pro,100955,Parisio,Moda
Deportes Smart,121143,Riploy,Deportes
Moda XL,150511,Falabellox,Moda
Mascotas Plus,22274,Parisio,Mascotas
Moda XL,45684,Riploy,Moda
Mascotas Smart,131615,Falabellox,Mascotas
Juguetes Eco,111458,Parisio,Juguetes
Mascotas Smart,54564,Riploy,Mascotas
Moda Pro,100955,Parisio,Moda
Belleza Plus,45464,Riploy,Belleza
Hogar Ultra,133765,Parisio,Hogar
Electrónica Pro,149822,Riploy,Electrónica
Moda XL,148629,Falabellox,Moda
Mascotas Plus,24162,Parisio,Mascotas
Infantil Max,171090,Riploy,Infantil
Mascotas Pack,24224,Falabellox,Mascotas
Hogar Ultra,104040,Parisio,Hogar
Hogar Pack,35781,Parisio,Hogar
Belleza Max,23895,Riploy,Belleza
Computación Pro,66418,Falabellox,Computación
