producto,precio,tienda,categoria
Juguetes Eco,103739,Parisio,Juguetes
Moda Kit,97287,Parisio,Moda
Computación Eco,222237,Falabellox,Computación
Juguetes Mini,27498,Riploy,Juguetes
Electrónica Pro,43071,Parisio,Electrónica
Mascotas Max,145708,Falabellox,Mascotas
Juguetes Smart,232335,Riploy,Juguetes
Juguetes Eco,94639,Parisio,Juguetes
Herramientas Eco,124803,Falabellox,Herramientas
Herramientas Pro,176260,Riploy,Herramientas
Mascotas Pack,33836,Falabellox,Mascotas
Infantil Eco,10207,Riploy,Infantil
Juguetes Pack,170924,Parisio,Juguetes
Belleza Pack,116057,Parisio,Belleza
Electrónica XL,241275,Falabellox,Electrónica
Herramientas Eco,57517,Riploy,Herramientas
Belleza Pack,87751,Parisio,Belleza
Juguetes Smart,173433,Riploy,Juguetes
Electrodomésticos Smart,63655,Falabellox,Electrodomésticos
Moda Pack,143970,Riploy,Moda
Juguetes Smart,15035,Parisio,Juguetes
Moda Pack,125974,Riploy,Moda
Moda Kit,100027,Parisio,Moda
Infantil Plus,41266,Riploy,Infantil
Deportes Mini,152598,Parisio,Deportes
Hogar Pack,20231,Falabellox,Hogar
Electrónica Pro,65404,Parisio,Electrónica
Mascotas Max,169552,Falabellox,Mascotas
Automotriz Kit,192006,Riploy,Automotriz
Deportes Pro,215313,Parisio,Deportes
Deportes Smart,104107,Riploy,Deportes
Moda Kit,90435,Parisio,Moda
Infantil Pack,104868,Riploy,Infantil
Hogar Pack,16121,Falabellox,Hogar
Juguetes Mini,30343,Riploy,Juguetes
Deportes Pro,150719,Parisio,Deportes
Infantil XL,5887,Falabellox,Infantil
Herramientas Eco,43984,Riploy,Herramientas
Belleza Pack,93412,Parisio,Belleza
Moda Smart,63658,Falabellox,Moda
Infantil Eco,11087,Riploy,Infantil
Moda Kit,65102,Parisio,Moda
Deportes Ultra,36127,Falabellox,Deportes
Deportes Smart,141965,Riploy,Deportes
Moda Plus,33988,Parisio,Moda
Computación Eco,193091,Falabellox,Computación
Moda Pack,81801,Riploy,Moda
Deportes Kit,290894,Parisio,Deportes
Electrónica Smart,145872,Riploy,Electrónica
