oferta_id,fecha,producto,precio,tienda,categoria
FA-006-18706a613dc97c42-296ea,2025-10-21 05:27:00,Electrónica XL,160850,Falabellox,Electrónica
FA-032-18706a61b6067564-88195,2025-10-21 05:27:02,Infantil Pack,36550,Falabellox,Infantil
FA-001-18706a622df817c8-998bb,2025-10-21 05:27:04,Herramientas Eco,115442,Falabellox,Herramientas
FA-033-18706a62a672832f-d0f4b,2025-10-21 05:27:06,Infantil XL,5494,Falabellox,Infantil
FA-044-18706a631e5923dc-7f322,2025-10-21 05:27:08,Infantil XL,37360,Falabellox,Infantil
FA-049-18706a6396a58ed6-5cff4,2025-10-21 05:27:10,Computación Max,181113,Falabellox,Computación
FA-009-18706a640ebeaa76-746be,2025-10-21 05:27:12,Electrodomésticos Kit,423715,Falabellox,Electrodomésticos
FA-020-18706a648675e88a-2cb11,2025-10-21 05:27:14,Electrónica Kit,443043,Falabellox,Electrónica
FA-049-18706a64feefbb2b-7f5ce,2025-10-21 05:27:16,Computación Max,150928,Falabellox,Computación
FA-007-18706a657754799c-d1fa0,2025-10-21 05:27:18,Computación Ultra,248417,Falabellox,Computación
FA-025-18706a65ef2f1eab-6492,2025-10-21 05:27:20,Automotriz Pack,145012,Falabellox,Automotriz
FA-040-18706a6667207137-370bf,2025-10-21 05:27:22,Electrónica Plus,327358,Falabellox,Electrónica
FA-027-18706a66df43f828-598ac,2025-10-21 05:27:24,Mascotas Smart,97144,Falabellox,Mascotas
FA-008-18706a67578d4d01-f3686,2025-10-21 05:27:26,Hogar Mini,204728,Falabellox,Hogar
FA-028-18706a67cf4cb8c7-cd30a,2025-10-21 05:27:28,Computación Kit,421287,Falabellox,Computación
FA-009-18706a6847b6ad4e-da8fd,2025-10-21 05:27:30,Electrodomésticos Kit,385883,Falabellox,Electrodomésticos
FA-028-18706a68bfcd76b0-36202,2025-10-21 05:27:32,Computación Kit,415886,Falabellox,Computación
FA-013-18706a69380d5e12-160a8,2025-10-21 05:27:34,Computación Max,363780,Falabellox,Computación
FA-047-18706a69b0475436-364c3,2025-10-21 05:27:36,Electrodomésticos Ultra,378554,Falabellox,Electrodomésticos
FA-008-18706a6a287a0927-b97c8,2025-10-21 05:27:38,Hogar Mini,163782,Falabellox,Hogar
FA-038-18706a6aa13c8233-efb75,2025-10-21 05:27:40,Deportes Ultra,43353,Falabellox,Deportes
FA-038-18706a6b192d96b2-df01a,2025-10-21 05:27:42,Deportes Ultra,51301,Falabellox,Deportes
FA-043-18706a6b919b3150-3c388,2025-10-21 05:27:44,Computación Pro,51237,Falabellox,Computación
FA-049-18706a6c09e0e406-c803c,2025-10-21 05:27:46,Computación Max,156416,Falabellox,Computación
FA-016-18706a6c824d0870-4abd9,2025-10-21 05:27:48,Belleza Kit,167936,Falabellox,Belleza
