producto,precio,tienda,categoria
Deportes Mini,298366,Riploy,Deportes
Infantil Eco,19450,Riploy,Infantil
Hogar Ultra,246512,Riploy,Hogar
Electrodomésticos XL,254287,Riploy,Electrodomésticos
Infantil Max,135281,Riploy,Infantil
Deportes Eco,178899,Riploy,Deportes
Belleza Mini,23760,Riploy,Belleza
Infantil Eco,10383,Riploy,Infantil
Belleza Max,29204,Riploy,Belleza
Automotriz Mini,219544,Riploy,Automotriz
Belleza Plus,33961,Riploy,Belleza
Deportes Mini,275415,Riploy,Deportes
Infantil Pack,156313,Riploy,Infantil
Belleza Max,29647,Riploy,Belleza
Infantil Max,112337,Riploy,Infantil
